Source,Year,Amount
Hydropower ,1985,5854.193848
Hydropower ,1986,5933.473145
Hydropower ,1987,6013.859375
Hydropower ,1988,6206.563477
Hydropower ,1989,6173.58252
Hydropower ,1990,6383.380859
Hydropower ,1991,6532.162598
Hydropower ,1992,6530.393555
Hydropower ,1993,6923.664551
Hydropower ,1994,6967.245117
Hydropower ,1995,7344.211914
Hydropower ,1996,7442.816895
Hydropower ,1997,7572.938477
Hydropower ,1998,7631.976563
Hydropower ,1999,7689.777832
Hydropower ,2000,7826.166016
Hydropower ,2001,7575.620117
Hydropower ,2002,7665.618652
Hydropower ,2003,7606.506836
Hydropower ,2004,8116.037598
Hydropower ,2005,8336.203125
Hydropower ,2006,8599.056641
Hydropower ,2007,8688.974609
Hydropower ,2008,9136.708984
Hydropower ,2009,9066.299805
Hydropower ,2010,9518.041992
Hydropower ,2011,9635.075195
Hydropower ,2012,9985.884766
Hydropower ,2013,10324.78711
Hydropower ,2014,10535.74121
Hydropower ,2015,10444.33789
Hydropower ,2016,10741.48535
Hydropower ,2017,10831.40527
Hydropower ,2018,11067.51758
Hydropower ,2019,11153.79199
Hydropower ,2020,11413.82715
Hydropower ,2021,11183.22559
Nuclear,1800,0
Nuclear,1810,0
Nuclear,1820,0
Nuclear,1830,0
Nuclear,1840,0
Nuclear,1850,0
Nuclear,1860,0
Nuclear,1870,0
Nuclear,1880,0
Nuclear,1890,0
Nuclear,1900,0
Nuclear,1910,0
Nuclear,1920,0
Nuclear,1930,0
Nuclear,1940,0
Nuclear,1950,0
Nuclear,1960,0
Nuclear,1965,72.46934509
Nuclear,1966,97.70497131
Nuclear,1967,116.3551788
Nuclear,1968,147.8718872
Nuclear,1969,175.3113403
Nuclear,1970,223.8080139
Nuclear,1971,311.2872314
Nuclear,1972,431.7992554
Nuclear,1973,578.5737305
Nuclear,1974,756.4817505
Nuclear,1975,1049.449707
Nuclear,1976,1227.711548
Nuclear,1977,1528.137451
Nuclear,1978,1775.700928
Nuclear,1979,1846.824585
Nuclear,1980,2020.095581
Nuclear,1981,2385.642822
Nuclear,1982,2588.317383
Nuclear,1983,2933.458984
Nuclear,1984,3559.856689
Nuclear,1985,4224.837402
Nuclear,1986,4525.086426
Nuclear,1987,4922.331055
Nuclear,1988,5366.448242
Nuclear,1989,5518.996094
Nuclear,1990,5676.34082
Nuclear,1991,5947.926758
Nuclear,1992,5993.084473
Nuclear,1993,6199.476074
Nuclear,1994,6315.866211
Nuclear,1995,6589.833008
Nuclear,1996,6829.333496
Nuclear,1997,6782.445313
Nuclear,1998,6899.195801
Nuclear,1999,7161.753418
Nuclear,2000,7323.339844
Nuclear,2001,7481.208496
Nuclear,2002,7551.708984
Nuclear,2003,7351.345703
Nuclear,2004,7636.449707
Nuclear,2005,7608.073242
Nuclear,2006,7654.419434
Nuclear,2007,7451.547852
Nuclear,2008,7382.284668
Nuclear,2009,7232.938477
Nuclear,2010,7373.733398
Nuclear,2011,7022.148438
Nuclear,2012,6500.992188
Nuclear,2013,6513.491699
Nuclear,2014,6606.678223
Nuclear,2015,6655.756348
Nuclear,2016,6714.795898
Nuclear,2017,6734.873047
Nuclear,2018,6856.016602
Nuclear,2019,7073.289551
Nuclear,2020,6789.301758
Nuclear,2021,7031.339355
Gas,1800,0
Gas,1810,0
Gas,1820,0
Gas,1830,0
Gas,1840,0
Gas,1850,0
Gas,1860,0
Gas,1870,0
Gas,1880,0
Gas,1890,33
Gas,1900,64
Gas,1910,142
Gas,1920,233
Gas,1930,603
Gas,1940,875
Gas,1950,2092
Gas,1960,4472
Gas,1965,6303.798828
Gas,1966,6868.794434
Gas,1967,7374.039551
Gas,1968,8044.331543
Gas,1969,8833.417969
Gas,1970,9614.791992
Gas,1971,10293.2002
Gas,1972,10861.72363
Gas,1973,11377.83789
Gas,1974,11659.86523
Gas,1975,11659.74121
Gas,1976,12354.14355
Gas,1977,12759.84277
Gas,1978,13293.95215
Gas,1979,14118.03223
Gas,1980,14236.96094
Gas,1981,14395.87402
Gas,1982,14469.73535
Gas,1983,14703.83301
Gas,1984,15902.68066
Gas,1985,16262.22168
Gas,1986,16421.11133
Gas,1987,17281.89648
Gas,1988,18088.8457
Gas,1989,18867.30859
Gas,1990,19481.125
Gas,1991,19972.83984
Gas,1992,20063.48438
Gas,1993,20265.48438
Gas,1994,20389.61523
Gas,1995,21104.49414
Gas,1996,22159.25586
Gas,1997,22030.39258
Gas,1998,22434
Gas,1999,23071.9043
Gas,2000,23994.25781
Gas,2001,24316.83398
Gas,2002,25030.14258
Gas,2003,25729.58984
Gas,2004,26721.10156
Gas,2005,27438.03711
Gas,2006,28161.10547
Gas,2007,29315.39063
Gas,2008,30021.31836
Gas,2009,29401.19141
Gas,2010,31588.86328
Gas,2011,32340.17969
Gas,2012,33194.03516
Gas,2013,33729.72266
Gas,2014,33944.27344
Gas,2015,34768.67578
Gas,2016,35560.77344
Gas,2017,36529.22266
Gas,2018,38356.30078
Gas,2019,39062.94531
Gas,2020,38455.72656
Gas,2021,40374.60547
Oil ,1800,0
Oil ,1810,0
Oil ,1820,0
Oil ,1830,0
Oil ,1840,0
Oil ,1850,0
Oil ,1860,0
Oil ,1870,6
Oil ,1880,33
Oil ,1890,89
Oil ,1900,181
Oil ,1910,397
Oil ,1920,889
Oil ,1930,1756
Oil ,1940,2653
Oil ,1950,5444
Oil ,1960,11097
Oil ,1965,17989.60352
Oil ,1966,19341.14648
Oil ,1967,20732.13672
Oil ,1968,22488.33203
Oil ,1969,24353
Oil ,1970,26505.18359
Oil ,1971,27994.79688
Oil ,1972,30112.26367
Oil ,1973,32534.80664
Oil ,1974,32078.17969
Oil ,1975,31715.76953
Oil ,1976,33752.46484
Oil ,1977,34928.13672
Oil ,1978,36509.91797
Oil ,1979,37064.56641
Oil ,1980,35514.42188
Oil ,1981,34251.57031
Oil ,1982,33185.26953
Oil ,1983,32937.60547
Oil ,1984,33680.05469
Oil ,1985,33660.10156
Oil ,1986,34700.83594
Oil ,1987,35393.54297
Oil ,1988,36552.58984
Oil ,1989,37156.83594
Oil ,1990,37608.01953
Oil ,1991,37610.64063
Oil ,1992,38151.84766
Oil ,1993,37960.61328
Oil ,1994,38793.50781
Oil ,1995,39442.17578
Oil ,1996,40314.29688
Oil ,1997,41413.24609
Oil ,1998,41644.41406
Oil ,1999,42370.09375
Oil ,2000,42880.92578
Oil ,2001,43255.68359
Oil ,2002,43608.86328
Oil ,2003,44580.64844
Oil ,2004,46270.65625
Oil ,2005,46672.65625
Oil ,2006,47172.60938
Oil ,2007,47758.875
Oil ,2008,47338.6875
Oil ,2009,46371.56641
Oil ,2010,47895.07422
Oil ,2011,48307.65625
Oil ,2012,49010.70703
Oil ,2013,49520.15625
Oil ,2014,49832.44141
Oil ,2015,50796.26172
Oil ,2016,51760.77734
Oil ,2017,52515.54297
Oil ,2018,53250.62109
Oil ,2019,53368.62891
Oil ,2020,48380.71094
Oil ,2021,51170.47266
Coal ,1800,97
Coal ,1810,128
Coal ,1820,153
Coal ,1830,264
Coal ,1840,356
Coal ,1850,569
Coal ,1860,1061
Coal ,1870,1642
Coal ,1880,2542
Coal ,1890,3856
Coal ,1900,5728
Coal ,1910,8656
Coal ,1920,9833
Coal ,1930,10125
Coal ,1940,11586
Coal ,1950,12603
Coal ,1960,15442
Coal ,1965,16140.17871
Coal ,1966,16324.09375
Coal ,1967,16060.80957
Coal ,1968,16301.14648
Coal ,1969,16798.73633
Coal ,1970,17058.60742
Coal ,1971,16965.77734
Coal ,1972,17158.63672
Coal ,1973,17667.84961
Coal ,1974,17682.05078
Coal ,1975,18024.53711
Coal ,1976,18688.48438
Coal ,1977,19241.30078
Coal ,1978,19457.9043
Coal ,1979,20363.53906
Coal ,1980,20857.60938
Coal ,1981,21149.67969
Coal ,1982,21385.45117
Coal ,1983,22046.3457
Coal ,1984,23001.08008
Coal ,1985,23987.82813
Coal ,1986,24258.0332
Coal ,1987,25212.42578
Coal ,1988,25967.12891
Coal ,1989,26215.67578
Coal ,1990,25904.46875
Coal ,1991,25654.25195
Coal ,1992,25556.59375
Coal ,1993,25685.59375
Coal ,1994,25784.77734
Coal ,1995,25963.68164
Coal ,1996,26582.12305
Coal ,1997,26536.6875
Coal ,1998,26366.36523
Coal ,1999,26479.49609
Coal ,2000,27427.52344
Coal ,2001,27860.15234
Coal ,2002,28955.10352
Coal ,2003,31499.23242
Coal ,2004,33673.01172
Coal ,2005,36169.05859
Coal ,2006,38069.03516
Coal ,2007,40228.41797
Coal ,2008,40773.58203
Coal ,2009,40175.35938
Coal ,2010,41996.38672
